manga,author,publisher,demographic,num_of_vol,serialized,sales,sales_per_vol,genre,isbn_10,isbn_13,description,cover_image_url,tags,rating_avg,year,year_bucket,amazon_link
Spy × Family,Tatsuya Endo,Shueisha,Shōnen,10,2019–present,27million,2.70 million,Action,1974715469,9781974715466,"Not one to depend on others, Twilight has his work cut out for him procuring both a wife and a child for his mission to infiltrate an elite private school. What he doesn't know is that the wife he's chosen is an assassin and the child he's adopted is a telepath!",http://books.google.com/books/content?id=ud3lDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Family Life, Espionage, Found Family, War, Surreal Comedy",83,2019,modern,https://www.amazon.com/s?k=9781974715466
The Quintessential Quintuplets,Negi Haruba,Kodansha,Shōnen,14,2017–2020,20million,1.42 million,Romance,1632367742,9781632367747,"One day, a poor high school second-year named Futaro Uesugi comes across a private tutoring gig with good pay. But his pupils are his classmates!! And they're quintuplets!! They're all gorgeous girls, but they're troublemakers who hate to study and are on the verge of flunking out! And his first task is simply gaining the sisters' trust?! Every day is a party! The curtain is rising on the Nakano quintuplets' quirky romantic comedy with five times the cute!!",http://books.google.com/books/content?id=lFlgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Twins, Female Harem, Primarily Female Cast, Coming of Age, Love Triangle",77,2017,modern,https://www.amazon.com/s?k=9781632367747
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016–2020,150million,6.52 million,Action,1974700526,9781974700523,"The setting is Taisho era Japan. Tanjirou is a kindhearted young boy who lived peacefully with his family as a coal seller. Their normal life changes completely when his family is slaughtered by demons. The only other survivor, Tanjirou's younger sister Nezuko, has become a ferocious demon. In order to return Nezuko to normal and get revenge on the demon that killed their family, the two of them depart on a journey. From a young talent, an adventure tale of blood and swords begins!",http://books.google.com/books/content?id=OINZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Demons, Shounen, Swordplay, Tragedy, Male Protagonist",79,2016,modern,https://www.amazon.com/s?k=9781974700523
Assassination Classroom,Yūsei Matsui,Shueisha,Shōnen,21,2012–2016,25million,1.19 million,Action,1518214002,9781518214004,"Meet the would-be assassins of class 3-E: Sugino, who let his grades slip and got kicked off the baseball team. Karma, who's doing well in his classes but keeps getting suspended for fighting. And Okuda, who lacks both academic and social skills, yet excels at one subject: chemistry. Who has the best chance of winning that reward? Will the deed be accomplished through pity, brute force or poison...? And what chance does their teacher have of repairing his students' tattered self-esteem?",,"Teacher, Assassins, School, Shounen, Ensemble Class",81,2012,modern,https://www.amazon.com/s?k=9781518214004
Haikyu!!,Haruichi Furudate,Shueisha,Shōnen,45,2012–2020,55million,1.22 million,Sports,1421587661,9781421587660,"A chance event triggered Shouyou Hinata's love for volleyball. His club had no members, but somehow persevered and finally made it into its very first and final regular match of middle school, where it was steamrolled by Tobio Kageyama, a superstar player known as ""King of the Court."" Vowing revenge, Hinata applied to the Karasuno High School volleyball club...only to come face-to-face with his hated rival, Kageyama! A tale of hot-blooded youth and volleyball!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx65243-mR4MnJFmfaOF.png,"Volleyball, Male Protagonist, Shounen, Coming of Age, School Club",88,2012,modern,https://www.amazon.com/s?k=9781421587660
One Piece,Eiichiro Oda,Shueisha,Shōnen,100,1997–present,500million,5.00 million,Adventure,1421525843,9781421525846,"Monkey D. Luffy refuses to let anyone or anything stand in the way of his quest to become the king of all pirates. With a course charted for the treacherous waters of the Grand Line and beyond, this is one captain who'll never give up until he's claimed the greatest treasure on Earth: the Legendary One Piece!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx13-1.jpg,"Pirates, Adventure, Shounen, Male Protagonist, Friendship",92,1997,classic,https://www.amazon.com/s?k=9781421525846
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250million,3.47 million,Action,1421502419,9781421502410,"Naruto is a ninja-in-training with an incorrigible knack for mischief. His wild antics amuse his teammates, but Naruto is completely serious about one thing: becoming the world's greatest ninja!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx11-1.jpg,"Ninja, Shounen, Male Protagonist, Coming of Age, Friendship",85,1999,2000s,https://www.amazon.com/s?k=9781421502410
Death Note,Tsugumi Ohba,Shueisha,Shōnen,12,2003–2006,30million,2.50 million,Psychological,1421501684,9781421501680,"Light Yagami is an ace student with great prospects—and he's bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and now Light has vowed to use the power of the Death Note to rid the world of evil.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx13-1.jpg,"Supernatural, Psychological, Crime, Male Protagonist, Death",90,2003,2000s,https://www.amazon.com/s?k=9781421501680
Fullmetal Alchemist,Hiromu Arakawa,Square Enix,Shōnen,27,2001–2010,80million,2.96 million,Fantasy,1591169208,9781591169208,"In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armor. Equipped with mechanical ""auto-mail"" limbs, Edward becomes a state alchemist, seeking the one thing that can restore his and his brother's bodies...the legendary Philosopher's Stone.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx13-1.jpg,"Alchemy, Fantasy, Shounen, Military, Adventure",94,2001,2000s,https://www.amazon.com/s?k=9781591169208
My Hero Academia,Kohei Horikoshi,Shueisha,Shōnen,37,2014–present,85million,2.30 million,Superhero,1421582699,9781421582696,"What would the world be like if 80 percent of the population manifested superpowers called ""Quirks"" at age four? Heroes and villains would be battling it out everywhere! Being a hero would mean learning to use your power, but where would you go to study? The Hero Academy of course! But what would you do if you were one of the 20 percent who were born Quirkless?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx13-1.jpg,"Superhero, School, Shounen, Male Protagonist, Coming of Age",87,2014,modern,https://www.amazon.com/s?k=9781421582696
