manga,author,publisher,demographic,num_of_vol,serialized,sales,sales_per_vol,genre,isbn_10,isbn_13,description,cover_image_url,tags,rating_avg,year,year_bucket,amazon_link
Spy × Family,Tatsuya Endo,Shueisha,Shōnen,10,2019–present,27million,2.70 million,Action,1974715469,9.78197E+12,"Not one to depend on others, Twilight has his work cut out for him procuring both a wife and a child for his mission to infiltrate an elite private school. What he doesn’t know is that the wife he’s chosen is an assassin and the child he’s adopted is a telepath!",http://books.google.com/books/content?id=ud3lDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Family Life, Espionage, Found Family, War, Surreal Comedy",83,2019,modern,https://www.amazon.com/s?k=9781974715466
The Quintessential Quintuplets,Negi Haruba,Kodansha,Shōnen,14,2017–2020,20million,1.42 million,Romance,1632367742,9.78163E+12,"One day, a poor high school second-year named Futaro Uesugi comes across a private tutoring gig with good pay. But his pupils are his classmates!! And they’re quintuplets!! They’re all gorgeous girls, but they’re troublemakers who hate to study and are on the verge of flunking out! And his first task is simply gaining the sisters’ trust?! Every day is a party! The curtain is rising on the Nakano quintuplets’ quirky romantic comedy with five times the cute!!",http://books.google.com/books/content?id=lFlgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Twins, Female Harem, Primarily Female Cast, Coming of Age, Love Triangle",77,2017,modern,https://www.amazon.com/s?k=9781632367747
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016–2020,150million,6.52 million,Action,1974700526,9.78197E+12,"The setting is Taisho era Japan. Tanjirou is a kindhearted young boy who lived peacefully with his family as a coal seller. Their normal life changes completely when his family is slaughtered by demons. The only other survivor, Tanjirou's younger sister Nezuko, has become a ferocious demon. In order to return Nezuko to normal and get revenge on the demon that killed their family, the two of them depart on a journey. From a young talent, an adventure tale of blood and swords begins!",http://books.google.com/books/content?id=OINZDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Demons, Shounen, Swordplay, Tragedy, Male Protagonist",79,2016,modern,https://www.amazon.com/s?k=9781974700523
Assassination Classroom,Yūsei Matsui,Shueisha,Shōnen,21,2012–2016,25million,1.19 million,Action,1518214002,9.78152E+12,"Meet the would-be assassins of class 3-E: Sugino, who let his grades slip and got kicked off the baseball team. Karma, who’s doing well in his classes but keeps getting suspended for fighting. And Okuda, who lacks both academic and social skills, yet excels at one subject: chemistry. Who has the best chance of winning that reward? Will the deed be accomplished through pity, brute force or poison...? And what chance does their teacher have of repairing his students’ tattered self-esteem?",,"Teacher, Assassins, School, Shounen, Ensemble Class",81,2012,Modern,https://www.amazon.com/s?k=9781518214004
Haikyu!!,Haruichi Furudate,Shueisha,Shōnen,45,2012–2020,55million,1.22 million,Sports,1421587661,9.78142E+12,"A chance event triggered Shouyou Hinata's love for volleyball. His club had no members, but somehow persevered and finally made it into its very first and final regular match of middle school, where it was steamrolled by Tobio Kageyama, a superstar player known as ""King of the Court."" Vowing revenge, Hinata applied to the Karasuno High School volleyball club...only to come face-to-face with his hated rival, Kageyama! A tale of hot-blooded youth and volleyball!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx65243-mR4MnJFmfaOF.png,"Volleyball, Male Protagonist, Shounen, Coming of Age, School Club",88,2012,modern,https://www.amazon.com/s?k=9781421587660
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,Shōnen/Seinen,131,1987–present,120million,0.92 million,Adventure,1421578798,9.78142E+12,"Young Jonathan Joestar’s life is forever changed when he meets his new adopted brother, Dio. For some reason, Dio has a smoldering grudge against him and derives pleasure from seeing him suffer. But every man has his limits, as Dio finds out. This is the beginning of a long and hateful relationship! -- VIZ Media",http://books.google.com/books/content?id=do9gBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Philosophy, Autobiographical, Vampire, Super Power, Foreign",73,2011,modern,https://www.amazon.com/s?k=9781421578798
Attack on Titan,Hajime Isayama,Kodansha,Shōnen,34,2009–2021,110million,3.23 million,Action,1612620244,9.78161E+12,"In this post-apocalyptic sci-fi story, humanity has been devastated by the bizarre, giant humanoids known as the Titans. Little is known about where they came from or why they are bent on consuming mankind. Seemingly unintelligent, they have roamed the world for years, killing everyone they see. For the past century, what's left of man has hidden in a giant, three-walled city. People believe their 50-meter-high walls will protect them from the Titans, but the sudden appearance of an immense Titan is about to change everything.",http://books.google.com/books/content?id=SraQEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Dystopian, Anti-Hero, War, Philosophy, Conspiracy",84,2009,2000s,https://www.amazon.com/s?k=9781612620244
One-Punch Man,"One, Yusuke Murata",Shueisha,Seinen,26,2012–present,30million,1.15 million,Action,1421585642,9.78142E+12,"In this new action-comedy, everything about a young man named Saitama screams ""AVERAGE,” from his lifeless expression, to his bald head, to his unimpressive physique. However, this average-looking fellow doesn't have your average problem... He's actually a superhero that's looking for tough opponents! The problem is, every time he finds a promising candidate he beats the snot out of them in one punch. Can Saitama finally find an evil villain strong enough to challenge him? Follow Saitama through his hilarious romps as he searches for new bad guys to challenge!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx85364-O28PUKbABg8y.jpg,"Superhero, Super Power, Meta, Philosophy, Parody",85,2012,2000s,https://www.amazon.com/s?k=9781421585642
Kuroko's Basketball,Tadatoshi Fujimaki,Shueisha,Shōnen,30,2008–2014,31million,1.03 million,Sports,1421587718,9.78142E+12,"When incoming first-year student Taiga Kagami joins the Seirin High basketball team, he meets Tetsuya Kuroko, a mysterious boy who’s plain beyond words. But Kagami’s in for the shock of his life when he learns that the practically invisible Kuroko was once a member of “the Miracle Generation”— the undefeated legendary team—and he wants Kagami’s help taking down each of his old teammates!",http://books.google.com/books/content?id=Q4hKDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"School, Basketball, Shounen, Super Power, School Club",77,2008,2000s,https://www.amazon.com/s?k=9781421587714
Yowamushi Pedal,Wataru Watanabe,Akita Shoten,Shōnen,80,2008–present,28million,0.35 million,Sports,,9.78032E+12,"Power-pedaling Sakamichi Onoda has long been conquering the steepest slopes and regularly making the ninety-kilometer round-trip to Akihabara on a mommy bike!! But when his bike commute to his new hgih school lands him in a confrontation with the sreious first-year road racer Imaizumi, Onoda has a major showdown on his hands! Can this meek geek really out-pedal the future ace of the school road-racing team?!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx53627-fHXEQ3eT0zPN.png,"Cycling, Shounen, School Club, Primarily Male Cast, School",78,2008,2000s,https://www.amazon.com/s?k=9780316309523
